Kategorie;Ref;Funktion;Bauteil / Wert;Hersteller-Nr.;Mouser-Nr.;Gehäuse;Menge;Hinweis
Aktive Bauteile / ICs;U1;MCU;ESP32-WROOM-32E-N4;ESP32-WROOM-32E-N4;356-ESP32WRM32E132PH;Modul;1;"4 MB Flash, PCB-Antenne; Keep-out unter Antenne"
Aktive Bauteile / ICs;U2;Buck 12->3,3 V;TSR 1-2433E;TSR 1-2433E;495-TSR1-2433E;SIP-3;1;1 A, rauscharm
Aktive Bauteile / ICs;U3;Regelsensor Panelkammer;TSL25911FN;TSL25911FN;985-TSL25911FN;DFN-6;1;I2C-0, 0x29
Aktive Bauteile / ICs;U4;Umgebungslicht;LTR-303ALS-01;LTR-303ALS-01;859-LTR-303ALS-01;LGA;1;"I2C-1, 0x29; IRQ optional"
Aktive Bauteile / ICs;U5;Umgebungstemperatur;MCP9804-E/MS;MCP9804-E/MS;579-MCP9804-E/MS;MSOP-8;1;I2C-0, 0x18
Aktive Bauteile / ICs;U6;Display-Treiber;AS1115-BSST;AS1115-BSST;985-AS1115-BSST;QSOP-24;1;"I2C-0, 0x00; Common-Cathode"
Aktive Bauteile / ICs;U7;ADC-Referenz;LM4040CYM3-2.5;LM4040CYM3-2.5-TR;998-LM4040CYM3-2.5TR;SOT-23-3;1;2,5 V Shunt
Aktive Bauteile / ICs;Q1;Strip-FET WW;DMG3414U-7;DMG3414U-7;621-DMG3414U-7;SOT-23;1;Low-side, PWM 16 Bit
Aktive Bauteile / ICs;Q2;Strip-FET CW;DMG3414U-7;DMG3414U-7;621-DMG3414U-7;SOT-23;1;Low-side, PWM 16 Bit
Aktive Bauteile / ICs;Q3;Tasten-LED-FET (rote Gruppe);DMG3414U-7;DMG3414U-7;621-DMG3414U-7;SOT-23;1;Low-side, PWM
Aktive Bauteile / ICs;Q4;Tasten-LED-FET (Blackout);DMG3414U-7;DMG3414U-7;621-DMG3414U-7;SOT-23;1;"Low-side, PWM; ggf. 2. Pfad fuer Dual-Color"
Aktive Bauteile / ICs;Q5;Verpolschutz;DMP3099L-7;DMP3099L-7;621-DMP3099L-7;SOT-23;1;"P-Kanal; V_GS +-20 V, keine Gate-Zener noetig"
Anzeige und Bedienteil;DS1;Display;CC04-41SURKWA;CC04-41SURKWA;604-CC04-41SURKWA;20-DIP;1;4-stellig 7-Segment, rot, gem. Kathode
Anzeige und Bedienteil;SW1;Taster Plus;WS-TATL 440RS67082622 (rot);440RS67082622;710-440RS67082622;THT 12x12;1;integrierte LED
